time,GPS1,GPS2,sum_ABC
10:38:08,49.7385,13.3773,540
10:38:09,49.7384,13.3774,369
10:38:10,49.7384,13.3774,530
10:38:11,49.7383,13.3773,385
10:38:20,49.7382,13.3775,411
10:38:21,49.7382,13.3776,413
10:38:22,49.7382,13.3777,412
10:38:23,49.7382,13.3777,408
10:38:26,49.7382,13.3778,539
10:38:27,49.7382,13.3779,554
10:38:28,49.7382,13.378,381
10:38:29,49.7382,13.378,548
10:38:30,49.7382,13.3781,396
10:38:31,49.7382,13.3782,398
10:38:32,49.7382,13.3782,391
10:38:33,49.7382,13.3782,381
10:38:35,49.7382,13.3782,400
10:38:36,49.7382,13.3783,396
10:38:37,49.7382,13.3783,410
10:38:38,49.7382,13.3783,396
10:38:39,49.7382,13.3783,395
10:38:40,49.7382,13.3785,395
10:40:57,49.7382,13.3787,450
10:40:58,49.7382,13.3787,403
10:40:59,49.7382,13.3787,406
10:41:00,49.7382,13.3787,425
10:41:53,49.7381,13.3789,407
10:41:54,49.7381,13.3789,408
10:41:55,49.7381,13.3789,408
10:41:56,49.7381,13.3789,408
10:41:57,49.7381,13.3789,570
10:41:58,49.7381,13.3789,570
10:41:59,49.7381,13.3789,408
10:42:00,49.7381,13.3789,408
10:42:01,49.7381,13.3788,407
10:42:02,49.7381,13.3788,407
10:42:03,49.7381,13.3788,571
10:42:04,49.7381,13.3788,571
10:42:05,49.7381,13.3788,407
10:42:06,49.7381,13.3788,407
10:42:07,49.7381,13.3788,570
10:42:08,49.7381,13.3788,570
10:42:09,49.7381,13.3788,570
10:42:10,49.7382,13.3789,407
10:42:11,49.7382,13.3789,403
10:42:12,49.7382,13.3789,387
10:42:14,49.7382,13.3789,395
10:42:15,49.7382,13.3789,397
10:42:16,49.7382,13.3789,548
10:42:17,49.7382,13.3789,401
10:42:18,49.7382,13.3789,393
10:42:19,49.7382,13.3789,386
10:42:20,49.7382,13.3789,374
10:46:48,49.7291,13.3781,516
10:46:49,49.7291,13.3781,516
10:46:50,49.7291,13.3781,489
10:46:51,49.7291,13.3781,487
10:46:53,49.7291,13.3781,491
10:46:54,49.7291,13.3781,492
10:46:56,49.7291,13.3781,575
10:46:57,49.7291,13.3781,575
10:46:58,49.7291,13.3781,519
10:47:00,49.7291,13.3781,489
10:47:01,49.7291,13.3781,471
10:47:10,49.7291,13.3781,354
10:48:26,49.7299,13.3716,710
10:49:11,49.7273,13.3703,430
10:49:12,49.7273,13.3703,451
10:49:13,49.7273,13.3703,473
10:49:14,49.7272,13.3702,710
10:49:15,49.7272,13.3702,710
10:49:16,49.7272,13.3701,577
10:49:17,49.7271,13.3701,406
10:49:24,49.7269,13.3697,553
10:49:25,49.7269,13.3697,545
10:49:26,49.7269,13.3697,549
10:49:27,49.7269,13.3697,541
10:49:28,49.7268,13.3696,527
10:49:29,49.7268,13.3696,497
10:49:30,49.7266,13.3694,583
10:49:31,49.7266,13.3694,535
10:49:32,49.7265,13.3693,598
10:49:33,49.7265,13.3693,578
10:49:34,49.7264,13.3691,558
10:49:35,49.7264,13.3691,560
10:49:36,49.7263,13.369,590
10:49:37,49.7263,13.369,565
10:49:38,49.7262,13.3688,607
10:49:39,49.7262,13.3688,487
10:49:40,49.726,13.3687,557
10:49:41,49.726,13.3687,493
10:49:42,49.726,13.3686,430
10:49:43,49.726,13.3686,431
10:49:49,49.7259,13.3684,537
10:49:50,49.7259,13.3684,380
10:49:51,49.726,13.3683,531
10:49:52,49.726,13.3683,437
10:49:53,49.726,13.3683,408
10:49:54,49.726,13.3682,564
10:49:55,49.7261,13.3682,391
10:49:57,49.7261,13.3682,391
10:49:58,49.7261,13.3681,377
10:49:59,49.7261,13.3681,395
10:51:41,49.7261,13.368,333
10:51:42,49.7261,13.368,528
10:51:43,49.7261,13.368,528
10:51:49,49.7262,13.3679,552
10:52:09,49.7262,13.3678,528
10:52:10,49.7262,13.3678,561
10:52:11,49.7262,13.3678,400
10:52:38,49.7264,13.3674,589
10:52:39,49.7264,13.3674,710
10:52:40,49.7265,13.3672,563
10:52:41,49.7265,13.3672,552
10:52:42,49.7266,13.3671,388
10:52:43,49.7266,13.3671,537
10:53:14,49.728,13.368,710
10:53:15,49.728,13.368,710
10:53:55,49.7266,13.3659,710
10:53:56,49.7266,13.3659,710
10:55:07,49.7244,13.3579,710
10:55:08,49.7243,13.3576,710
10:56:13,49.7232,13.35,710
10:56:14,49.7233,13.3499,511
10:56:26,49.7233,13.3499,710
10:56:27,49.7233,13.3499,511
10:56:28,49.7233,13.3499,496
10:56:29,49.7233,13.3499,495
10:56:42,49.7236,13.3499,710
10:56:43,49.7236,13.3499,710
10:56:44,49.7236,13.3499,505
10:57:23,49.7236,13.3498,492
10:57:24,49.7236,13.3498,492
9:50:52,49.744,13.3705,523
9:50:56,49.7441,13.3705,561
9:51:11,49.7446,13.3705,554
9:51:12,49.7446,13.3705,554
9:51:13,49.7447,13.3705,550
9:51:14,49.7447,13.3705,400
9:51:15,49.7447,13.3705,390
9:51:16,49.7448,13.3705,405
9:51:17,49.7448,13.3705,558
9:51:18,49.7448,13.3705,400
9:51:19,49.7449,13.3706,388
9:51:25,49.745,13.3705,505
9:51:26,49.745,13.3705,505
9:51:27,49.745,13.3705,445
9:51:28,49.745,13.3705,445
9:51:29,49.745,13.3705,446
9:51:30,49.745,13.3705,446
9:51:31,49.745,13.3705,446
9:51:32,49.745,13.3705,446
9:51:38,49.745,13.3705,445
9:51:39,49.745,13.3705,445
9:51:40,49.745,13.3705,378
9:51:41,49.745,13.3705,526
9:51:42,49.745,13.3705,520
9:51:46,49.745,13.3705,593
9:51:47,49.745,13.3705,448
9:51:48,49.745,13.3705,450
9:52:04,49.7449,13.3706,407
9:52:05,49.745,13.3706,439
9:52:06,49.745,13.3706,436
9:52:07,49.745,13.3706,420
9:52:08,49.745,13.3706,517
9:52:09,49.7451,13.3706,398
9:52:10,49.7451,13.3706,402
9:52:11,49.7451,13.3706,382
9:52:49,49.7452,13.3693,523
9:52:50,49.7452,13.3693,523
9:52:51,49.7452,13.3693,455
9:52:52,49.7451,13.3692,413
9:54:53,49.7451,13.3693,398
9:54:54,49.7451,13.3693,399
9:54:55,49.7451,13.3693,390
9:55:01,49.7451,13.3693,415
9:55:02,49.7451,13.3693,405
9:55:03,49.7451,13.3693,406
9:55:04,49.7451,13.3693,426
9:57:10,49.7449,13.3692,444
9:57:11,49.7449,13.3692,443
9:57:12,49.7449,13.3692,444
9:57:13,49.7449,13.3692,445
9:57:14,49.7449,13.3692,445
9:57:15,49.7449,13.3692,444
9:57:16,49.7449,13.3692,441
9:57:17,49.7449,13.3692,584
9:57:18,49.7449,13.3692,424
9:57:19,49.7449,13.3692,436
9:57:20,49.7449,13.3692,434
9:57:28,49.7449,13.3692,431
