time,GPS1,GPS2,sum_ABC
10:33:31,49.7382,13.3782,380
10:33:32,49.7382,13.3782,380
10:33:33,49.7382,13.3783,396
10:33:34,49.7382,13.3784,390
10:33:35,49.7382,13.3784,388
10:33:36,49.7382,13.3785,391
10:33:43,49.7382,13.3784,373
10:33:44,49.7382,13.3784,372
10:33:45,49.7382,13.3784,371
10:33:46,49.7382,13.3784,373
10:33:47,49.7382,13.3784,354
10:33:48,49.7382,13.3784,321
10:33:49,49.7382,13.3784,324
10:35:11,49.7381,13.3793,384
10:35:12,49.7381,13.3793,387
10:35:47,49.7385,13.3796,502
10:35:48,49.7385,13.3796,513
10:35:49,49.7385,13.3796,515
10:37:07,49.7389,13.3774,423
10:37:08,49.7389,13.3774,342
10:37:09,49.7388,13.3778,342
10:38:07,49.7385,13.3773,371
10:38:08,49.7385,13.3773,369
10:38:09,49.7384,13.3774,357
10:38:10,49.7384,13.3774,347
10:38:11,49.7383,13.3773,346
10:38:20,49.7382,13.3775,410
10:38:21,49.7382,13.3776,412
10:38:22,49.7382,13.3777,408
10:38:23,49.7382,13.3777,286
10:38:26,49.7382,13.3778,533
10:38:27,49.7382,13.3779,375
10:38:28,49.7382,13.378,371
10:38:29,49.7382,13.378,365
10:38:30,49.7382,13.3781,386
10:38:31,49.7382,13.3782,391
10:38:32,49.7382,13.3782,381
10:38:33,49.7382,13.3782,378
10:38:35,49.7382,13.3782,395
10:38:36,49.7382,13.3783,393
10:38:37,49.7382,13.3783,384
10:38:38,49.7382,13.3783,350
10:38:39,49.7382,13.3783,330
10:38:40,49.7382,13.3785,375
10:40:57,49.7382,13.3787,382
10:40:58,49.7382,13.3787,380
10:40:59,49.7382,13.3787,402
10:41:00,49.7382,13.3787,413
10:41:53,49.7381,13.3789,406
10:41:54,49.7381,13.3789,406
10:41:55,49.7381,13.3789,406
10:41:56,49.7381,13.3789,406
10:41:57,49.7381,13.3789,406
10:41:58,49.7381,13.3789,406
10:41:59,49.7381,13.3789,406
10:42:00,49.7381,13.3789,406
10:42:01,49.7381,13.3788,406
10:42:02,49.7381,13.3788,406
10:42:03,49.7381,13.3788,406
10:42:04,49.7381,13.3788,406
10:42:05,49.7381,13.3788,406
10:42:06,49.7381,13.3788,406
10:42:07,49.7381,13.3788,406
10:42:08,49.7381,13.3788,406
10:42:09,49.7381,13.3788,406
10:42:10,49.7382,13.3789,403
10:42:11,49.7382,13.3789,376
10:42:12,49.7382,13.3789,377
10:42:14,49.7382,13.3789,393
10:42:15,49.7382,13.3789,383
10:42:16,49.7382,13.3789,379
10:42:17,49.7382,13.3789,395
10:42:18,49.7382,13.3789,386
10:42:19,49.7382,13.3789,374
10:42:20,49.7382,13.3789,374
10:46:48,49.7291,13.3781,497
10:46:49,49.7291,13.3781,493
10:46:50,49.7291,13.3781,474
10:46:51,49.7291,13.3781,469
10:46:53,49.7291,13.3781,486
10:46:54,49.7291,13.3781,484
10:46:56,49.7291,13.3781,575
10:46:57,49.7291,13.3781,476
10:46:58,49.7291,13.3781,337
10:47:00,49.7291,13.3781,470
10:47:01,49.7291,13.3781,471
10:47:10,49.7291,13.3781,352
10:48:26,49.7299,13.3716,710
10:49:11,49.7273,13.3703,424
10:49:12,49.7273,13.3703,413
10:49:13,49.7273,13.3703,440
10:49:14,49.7272,13.3702,438
10:49:15,49.7272,13.3702,452
10:49:16,49.7272,13.3701,279
10:49:17,49.7271,13.3701,394
10:49:24,49.7269,13.3697,545
10:49:25,49.7269,13.3697,459
10:49:26,49.7269,13.3697,430
10:49:27,49.7269,13.3697,422
10:49:28,49.7268,13.3696,431
10:49:29,49.7268,13.3696,435
10:49:30,49.7266,13.3694,424
10:49:31,49.7266,13.3694,424
10:49:32,49.7265,13.3693,423
10:49:33,49.7265,13.3693,316
10:49:34,49.7264,13.3691,438
10:49:35,49.7264,13.3691,417
10:49:36,49.7263,13.369,432
10:49:37,49.7263,13.369,430
10:49:38,49.7262,13.3688,436
10:49:39,49.7262,13.3688,447
10:49:40,49.726,13.3687,480
10:49:41,49.726,13.3687,419
10:49:42,49.726,13.3686,419
10:49:43,49.726,13.3686,430
10:49:49,49.7259,13.3684,378
10:49:50,49.7259,13.3684,365
10:49:51,49.726,13.3683,357
10:49:52,49.726,13.3683,369
10:49:53,49.726,13.3683,369
10:49:54,49.726,13.3682,369
10:49:55,49.7261,13.3682,387
10:49:57,49.7261,13.3682,377
10:49:58,49.7261,13.3681,351
10:49:59,49.7261,13.3681,347
10:51:41,49.7261,13.368,323
10:51:42,49.7261,13.368,330
10:51:43,49.7261,13.368,394
10:51:49,49.7262,13.3679,547
10:52:09,49.7262,13.3678,525
10:52:10,49.7262,13.3678,379
10:52:11,49.7262,13.3678,380
10:52:38,49.7264,13.3674,385
10:52:39,49.7264,13.3674,390
10:52:40,49.7265,13.3672,390
10:52:41,49.7265,13.3672,385
10:52:42,49.7266,13.3671,368
10:52:43,49.7266,13.3671,370
10:53:14,49.728,13.368,710
10:53:15,49.728,13.368,656
10:53:55,49.7266,13.3659,710
10:53:56,49.7266,13.3659,710
10:55:07,49.7244,13.3579,710
10:55:08,49.7243,13.3576,710
10:56:13,49.7232,13.35,510
10:56:14,49.7233,13.3499,499
10:56:26,49.7233,13.3499,496
10:56:27,49.7233,13.3499,439
10:56:28,49.7233,13.3499,495
10:56:29,49.7233,13.3499,495
10:56:42,49.7236,13.3499,710
10:56:43,49.7236,13.3499,710
10:56:44,49.7236,13.3499,498
10:57:23,49.7236,13.3498,492
10:57:24,49.7236,13.3498,492
9:50:52,49.744,13.3705,523
9:50:56,49.7441,13.3705,433
9:51:11,49.7446,13.3705,544
9:51:12,49.7446,13.3705,536
9:51:13,49.7447,13.3705,549
9:51:14,49.7447,13.3705,390
9:51:15,49.7447,13.3705,377
9:51:16,49.7448,13.3705,376
9:51:17,49.7448,13.3705,392
9:51:18,49.7448,13.3705,365
9:51:19,49.7449,13.3706,364
9:51:25,49.745,13.3705,505
9:51:26,49.745,13.3705,443
9:51:27,49.745,13.3705,348
9:51:28,49.745,13.3705,444
9:51:29,49.745,13.3705,445
9:51:30,49.745,13.3705,444
9:51:31,49.745,13.3705,444
9:51:32,49.745,13.3705,446
9:51:38,49.745,13.3705,444
9:51:39,49.745,13.3705,344
9:51:40,49.745,13.3705,342
9:51:41,49.745,13.3705,378
9:51:42,49.745,13.3705,518
9:51:46,49.745,13.3705,446
9:51:47,49.745,13.3705,446
9:51:48,49.745,13.3705,445
9:52:04,49.7449,13.3706,403
9:52:05,49.745,13.3706,381
9:52:06,49.745,13.3706,378
9:52:07,49.745,13.3706,370
9:52:08,49.745,13.3706,378
9:52:09,49.7451,13.3706,372
9:52:10,49.7451,13.3706,382
9:52:11,49.7451,13.3706,343
9:52:49,49.7452,13.3693,523
9:52:50,49.7452,13.3693,404
9:52:51,49.7452,13.3693,403
9:52:52,49.7451,13.3692,410
9:54:53,49.7451,13.3693,395
9:54:54,49.7451,13.3693,358
9:54:55,49.7451,13.3693,358
9:55:01,49.7451,13.3693,399
9:55:02,49.7451,13.3693,393
9:55:03,49.7451,13.3693,394
9:55:04,49.7451,13.3693,342
9:57:10,49.7449,13.3692,443
9:57:11,49.7449,13.3692,442
9:57:12,49.7449,13.3692,442
9:57:13,49.7449,13.3692,443
9:57:14,49.7449,13.3692,441
9:57:15,49.7449,13.3692,400
9:57:16,49.7449,13.3692,392
9:57:17,49.7449,13.3692,378
9:57:18,49.7449,13.3692,373
9:57:19,49.7449,13.3692,375
9:57:20,49.7449,13.3692,434
9:57:28,49.7449,13.3692,425
9:57:29,49.7449,13.3692,405
9:57:30,49.7449,13.3692,353
9:57:31,49.7449,13.3692,356
9:58:17,49.7446,13.3692,406
9:58:18,49.7446,13.3692,397
9:58:26,49.7444,13.3692,390
9:58:27,49.7444,13.3692,349
9:58:28,49.7444,13.3692,383
9:58:30,49.7443,13.3691,549
9:58:31,49.7443,13.3691,549
9:58:34,49.7442,13.3691,399
9:58:35,49.7442,13.3691,377
9:58:36,49.7442,13.3691,385
9:58:37,49.7442,13.3691,392
9:58:38,49.7441,13.3692,397
9:58:39,49.7441,13.3692,383
9:58:41,49.7439,13.3691,435
9:58:42,49.744,13.3692,406
9:58:43,49.744,13.3692,437
9:58:44,49.744,13.3692,387
9:58:46,49.7439,13.3691,427
9:58:47,49.7438,13.3691,365
9:58:48,49.7438,13.3691,393
9:58:49,49.7438,13.3691,391
9:58:53,49.7437,13.3691,535
9:58:54,49.7436,13.3691,536
9:58:55,49.7436,13.3691,532
9:58:56,49.7436,13.3691,530
9:58:57,49.7435,13.3691,546
9:58:58,49.7435,13.3691,390
9:58:59,49.7435,13.3691,362
9:59:00,49.744,13.3691,362
9:59:01,49.7433,13.3691,391
9:59:02,49.7433,13.3691,347
9:59:03,49.7433,13.3691,363
9:59:07,49.7431,13.369,413
9:59:08,49.7431,13.369,388
9:59:09,49.743,13.369,380
9:59:11,49.7429,13.369,391
9:59:12,49.7429,13.369,391
9:59:13,49.7428,13.369,372
9:59:14,49.7428,13.369,385
9:59:15,49.7426,13.369,416
9:59:16,49.7426,13.369,341
9:59:17,49.7425,13.369,392
9:59:18,49.7425,13.369,373
9:59:19,49.7424,13.369,365
9:59:20,49.7423,13.369,415
9:59:29,49.7421,13.3689,401
9:59:30,49.7421,13.3689,359
9:59:31,49.7421,13.3689,392
9:59:32,49.742,13.3689,360
9:59:33,49.742,13.3689,373
9:59:34,49.7419,13.3689,381
9:59:35,49.7419,13.3689,367
9:59:36,49.7419,13.3689,372
9:59:37,49.7418,13.3689,400
9:59:38,49.7418,13.3689,325
9:59:39,49.7418,13.3689,311
9:59:40,49.7417,13.3689,370
9:59:41,49.7417,13.3689,376
