time,GPS1,GPS2,sum_ABC
16:55:52,49.7333,13.3227,499
16:55:55,49.7342,13.3253,528
16:56:22,49.7353,13.3282,505
16:57:22,49.7354,13.3285,580
16:58:52,49.7364,13.3312,566
16:59:06,49.7372,13.3334,531
16:59:16,49.738,13.3355,569
