time,GPS1,GPS2,A,B,C
16:55:52,49.733294, 13.322694,202,200,97
16:55:55,49.734226, 13.325310,229,200,99
16:56:22,49.735316, 13.328210,231,200,74
16:57:22,49.735412, 13.328493,249,200,131
16:58:52,49.736431, 13.331163,234,200,132
16:59:06,49.737244, 13.333403,251,200,80
16:59:16,49.738021, 13.335516,249,200,120

